x y1 y2 y3 y4
50 0.00283362218371 0.00207105719237 0.0455242634315 0.062240034662
100 0.00433275563258 0.00372183708839 0.106152512998 0.094445407279
150 0.0057582322357 0.00443240901213 0.123167244367 0.175398613518
200 0.00713604852686 0.005212305026 0.119757365685 0.165350953206
250 0.0078726169844 0.00516031195841 0.0922357019064 0.223301559792
300 0.00799826689775 0.00514731369151 0.0915381282496 0.256070190641
350 0.00823223570191 0.00505199306759 0.127010398614 0.302746967071
400 0.00850953206239 0.0051863084922 0.126490467938 0.284276429809
450 0.00838821490468 0.00525563258232 0.130632582322 0.279103119584
500 0.00846187175043 0.00517764298094 0.0995580589255 0.248977469671
