368|766|217|494 52230541196
529|217|883|177 5201263764
829|722|217|692 5212423736
368|829|684|177 5221323729
368|684|217|692 52151141216
529|354|494|419 5216833659
829|766|722|883 5221313763
368|529|692|937 52153841240
368|722|120|937 5214603974
529|722|354|145 5215073659
529|829|766|494 5233423691
829|684|419|177 5204983650
368|722|684|494 52177741208
529|684|494|145 5206743693
368|766|684|145 5218553740
529|684|217|692 5213243592
766|684|494|419 5202483551
722|684|217|494 5200293577
529|829|177|145 5211393754
368|829|354|438 5224023857
368|529|829|419 5236273782
829|217|494|419 5208653759
829|354|419|145 52036841122
529|494|692|883 52016141243
829|722|354|120 52123041134
368|354|692|145 5209473858
529|419|883|937 5200603773
368|419|883|145 52038841144
368|829|722|217 5230363988
529|766|684|419 5219443619
368|529|494|120 5225983678
529|829|419|120 5218903932
529|766|722|438 5218633904
829|354|217|494 5216973624
766|722|354|438 5204733790
368|217|419|145 52054441290
368|494|419|692 52042441198
368|766|217|419 5225723884
368|829|937|177 5211573718
368|529|829|937 52272441309
368|722|883|177 5216303704
368|217|419|692 52102941239
829|722|217|937 5210503616
529|829|419|883 5219123839
529|722|684|145 5213223506
368|722|494|937 52101041004
766|354|494|145 5202053818
529|766|419|438 5212163874
529|494|692|145 5203593702
829|354|684|494 5216983638
529|684|177|145 5202353682
529|829|684|937 5218393872
368|829|766|438 52238641077
829|766|722|177 5219213700
766|722|354|692 5208623883
368|529|722|419 5235813907
354|684|217|120 5201353768
529|684|419|692 5211683615
529|829|354|177 5224483757
829|766|217|438 5213053790
368|354|120|145 5212733858
829|354|419|883 5212163617
829|217|494|145 5202603866
368|829|419|145 52129141199
529|766|419|937 5214253835
368|529|120|177 5226193693
829|722|354|494 5218373656
368|766|937|145 5212103734
368|684|494|419 5213313644
529|354|419|177 5212043574
368|766|217|145 5220593899
368|494|692|120 5203883602
529|419|692|937 5203133764
368|829|217|177 5220643853
829|722|354|217 52176641000
368|529|722|937 52282041292
529|354|419|692 5215073635
766|354|217|145 5203923775
368|722|684|883 5220963689
766|722|354|120 52070341022
529|829|419|145 52139041018
829|766|722|494 5224043690
529|766|120|438 52065841159
368|722|419|692 52138741250
829|354|494|438 5209913557
368|217|692|145 5205043857
368|684|120|438 52013841713
368|829|120|438 52098841102
529|684|494|937 52047941010
529|722|937|145 5205213679
829|354|419|177 5208703690
368|529|419|438 5222913937
829|722|217|419 5211233919
529|829|684|494 5224713661
368|354|883|145 5214693851
368|829|354|419 5229933812
368|684|494|145 5207733704
368|529|684|120 5232553683
722|354|684|937 5200443518
529|766|494|419 5220733643
529|829|766|177 5227973763
829|766|217|692 52153941038
829|684|217|494 5212523633
829|217|494|937 5204423806
368|766|354|692 52224241552
529|494|692|937 5202093974
368|766|217|692 52184841544
368|722|692|145 5210153714
829|354|419|120 52078041124
