['234', 3390]
['278', 20114]
['3416', 2490]
['24', 2330]
['159', 2227]
['371', 3095]
['861', 2116]
['2136', 2272]
['762', 8071]
['1155', 2111]
['537', 6248]
['1524', 2705]
['235', 6133]
['1121', 2671]
['525', 3747]
['32', 11069]
['640', 9163]
['25', 12668]
['158', 5977]
['370', 3378]
['1132', 7113]
['2050', 2890]
['657', 2023]
['3141', 2468]
['69', 22631]
['1536', 4697]
['763', 2089]
['1569', 3034]
['253', 3488]
['526', 2927]
['236', 3500]
['1351', 2339]
['4507', 2357]
['706', 2512]
['1131', 4906]
['328', 1994]
['5092', 2146]
['838', 3864]
['540', 7710]
['3322', 3551]
['364', 12167]
['1456', 2344]
['1535', 2669]
['863', 2604]
['2134', 2139]
['269', 18343]
['759', 2507]
['997', 2339]
['1149', 3374]
['237', 6257]
['27', 72134]
['930', 2719]
['372', 3910]
['329', 3579]
['5093', 2150]
['527', 2602]
['268', 4669]
['839', 2028]
['989', 2912]
['534', 4680]
['916', 8989]
['3262', 2358]
['2135', 2038]
['230', 8123]
['520', 4091]
['37', 3985]
['339', 5290]
['689', 2922]
['20', 4504]
['2886', 4331]
['498', 2591]
['1519', 3043]
['1469', 3893]
['3405', 2745]
['2042', 2227]
['766', 2619]
['3351', 2598]
['858', 2047]
['1168', 2972]
['5', 5930]
['248', 2010]
['3145', 2659]
['521', 7826]
['231', 4405]
['338', 5419]
['1518', 3064]
['2124', 4218]
['688', 4004]
['499', 5252]
['21', 8763]
['2403', 3073]
['1507', 4320]
['363', 4187]
['1451', 2042]
['257', 2857]
['644', 8673]
['2133', 2722]
['522', 6773]
['232', 5366]
['3155', 2268]
['148', 69922]
['1135', 2246]
['2057', 2123]
['870', 4856]
['650', 4703]
['221', 3706]
['867', 2023]
['254', 10077]
['1531', 2071]
['764', 2622]
['531', 7052]
['508', 4530]
['993', 9231]
['523', 2642]
['2041', 2074]
['233', 6468]
['376', 2494]
['1134', 2255]
['927', 2092]
['871', 2527]
['220', 5412]
['4238', 2558]
['2416', 2075]
['361', 10122]
['934', 7621]
['866', 5790]
['255', 8364]
['358', 6131]
['530', 2590]
['1515', 2095]
['335', 2780]
['1050', 2208]
['2059', 2610]
['494', 7507]
['568', 5975]
['784', 3332]
['1775', 2634]
['11', 364065]
['506', 7178]
['1025', 6839]
['590', 5874]
['648', 6123]
['510', 2473]
['587', 4052]
['1631', 2047]
['1644', 8606]
['1464', 4269]
['312', 3566]
['507', 2697]
['631', 5428]
['1514', 2124]
['1774', 2095]
['334', 3375]
['1738', 2146]
['337', 2709]
['1052', 4454]
['513', 2526]
['687', 5107]
['584', 7598]
['131', 4313]
['496', 4533]
['786', 2817]
['579', 3219]
['632', 6444]
['1863', 3525]
['1517', 3468]
['1481', 3667]
['2817', 4149]
['504', 14546]
['336', 2728]
['1570', 2228]
['130', 2152]
['585', 2665]
['109', 2739]
['512', 12921]
['2', 42927]
['1646', 1987]
['1466', 2025]
['2298', 3054]
['787', 3622]
['633', 7277]
['1710', 2149]
['686', 6182]
['2993', 2850]
['303', 21246]
['2377', 2072]
['1956', 5932]
['12', 5868]
['331', 3934]
['999', 3290]
['137', 2892]
['28', 10111]
['582', 5339]
['515', 2797]
['2086', 2686]
['490', 23225]
['528', 3754]
['1458', 2202]
['678', 5909]
['1865', 2331]
['1564', 2146]
['793', 3219]
['829', 5935]
['330', 3712]
['1716', 2699]
['514', 7402]
['316', 27852]
['14', 11607]
['491', 7154]
['136', 23679]
['1770', 5186]
['781', 2291]
['529', 2902]
['987', 17804]
['1529', 3031]
['2357', 2635]
['1864', 2599]
['482', 3134]
['1566', 2212]
['1023', 3785]
['333', 3473]
['1496', 3366]
['492', 6843]
['135', 18313]
['7', 86898]
['658', 3004]
['17', 2437]
['2251', 2576]
['1463', 2104]
['539', 2429]
['306', 5525]
['603', 3833]
['1707', 3748]
['332', 3620]
['2243', 2680]
['516', 3200]
['2085', 2410]
['659', 5415]
['1462', 2069]
['134', 2179]
['314', 14842]
['1044', 4378]
['112', 2666]
['307', 3101]
['296', 4837]
['102', 3706]
['555', 5720]
['91', 12248]
['2024', 4257]
['1601', 1998]
['667', 10616]
['380', 3197]
['573', 5497]
['281', 7673]
['1906', 2526]
['825', 2921]
['472', 3190]
['1709', 2455]
['598', 5362]
['554', 2176]
['2155', 2192]
['2025', 2087]
['882', 3814]
['666', 2540]
['18', 5917]
['90', 22062]
['1077', 3362]
['3390', 2397]
['1868', 2407]
['2847', 2258]
['675', 2449]
['824', 2365]
['473', 6291]
['294', 32247]
['827', 4296]
['2448', 2191]
['88', 3717]
['3348', 2347]
['629', 2157]
['3230', 2374]
['665', 4503]
['2145', 3728]
['2026', 2967]
['382', 4185]
['2035', 3332]
['139', 3613]
['4060', 1994]
['470', 6172]
['215', 21592]
['89', 7204]
['826', 2264]
['2283', 2829]
['138', 35127]
['974', 4092]
['3129', 2084]
['901', 4873]
['800', 3683]
['677', 5182]
['563', 3423]
['1628', 2641]
['3385', 2988]
['1065', 5662]
['292', 4218]
['3553', 2389]
['106', 3764]
['3456', 2503]
['2019', 2175]
['2284', 2808]
['1605', 2109]
['1612', 2013]
['564', 3064]
['2143', 2546]
['160', 2250]
['397', 5625]
['205', 21373]
['212', 4113]
['670', 8938]
['815', 3084]
['2168', 2097]
['2018', 3694]
['3394', 3648]
['58', 2413]
['204', 3791]
['662', 8448]
['402', 3449]
['161', 2207]
['1648', 2905]
['4', 78097]
['118', 3525]
['104', 2406]
['438', 18910]
['588', 2824]
['290', 7876]
['885', 3664]
['1610', 2251]
['4990', 2328]
['672', 3427]
['400', 4197]
['970', 5009]
['884', 1987]
['660', 2833]
['211', 4704]
['897', 14297]
['1071', 4089]
['206', 2125]
['567', 2027]
['3473', 2210]
['1', 197522]
['1436', 2472]
['458', 3168]
['77', 43454]
['2190', 2322]
['55', 65412]
['421', 2373]
['3603', 2150]
['1681', 1998]
['1858', 2106]
['1807', 2508]
['2072', 5781]
['1437', 2468]
['83', 32212]
['4988', 2018]
['2061', 2022]
['2331', 4306]
['2094', 3159]
['3123', 2282]
['3835', 2313]
['1680', 2413]
['1806', 2305]
['423', 10967]
['1694', 2025]
['399', 2097]
['889', 2474]
['2332', 2599]
['1544', 2233]
['2192', 2170]
['434', 5836]
['4068', 2330]
['1805', 2236]
['1545', 2209]
['435', 6397]
['448', 5197]
['1817', 2335]
['398', 1988]
['5101', 2136]
['3680', 2239]
['56', 15752]
['1769', 3143]
['422', 3539]
['1018', 3777]
['3517', 2857]
['86', 8823]
['1748', 4315]
['73', 18749]
['51', 2021]
['1685', 2259]
['1829', 2051]
['1810', 5515]
['3607', 2227]
['469', 2200]
['1019', 5355]
['424', 3990]
['1693', 2779]
['87', 18484]
['697', 3884]
['3255', 2174]
['2029', 2247]
['468', 2119]
['2159', 2138]
['3695', 2116]
['694', 2952]
['2163', 2392]
['1997', 4308]
['71', 6643]
['2093', 2379]
['1812', 2326]
['218', 88598]
['1980', 2596]
['737', 17645]
['1801', 2492]
['1541', 2177]
['2342', 2436]
['1691', 2090]
['3437', 2349]
['85', 8801]
['3820', 2291]
['978', 2116]
['2067', 2975]
['6', 601374]
['4058', 2012]
['1101', 4798]
['1978', 1982]
['1686', 2463]
['49', 12702]
['1800', 3355]
['344', 2138]
['270', 2682]
['2226', 2482]
['379', 9783]
['1652', 2992]
['245', 3042]
['1014', 2082]
['775', 5247]
['832', 2720]
['151', 5276]
['465', 2934]
['357', 7212]
['1559', 2872]
['753', 3316]
['2954', 2217]
['3197', 3775]
['46', 8827]
['869', 2770]
['1305', 2478]
['3804', 3192]
['378', 11508]
['2300', 2907]
['271', 2155]
['774', 2093]
['1824', 2065]
['442', 2830]
['738', 3785]
['464', 3056]
['356', 4364]
['262', 2165]
['1118', 1990]
['1688', 2341]
['1140', 2791]
['2826', 3811]
['845', 6176]
['144', 4083]
['1838', 6465]
['2303', 4421]
['261', 3417]
['777', 7556]
['3', 450031]
['153', 2830]
['62', 2853]
['1030', 4326]
['467', 4140]
['39', 3876]
['452', 5130]
['355', 2267]
['768', 2712]
['247', 4541]
['258', 3262]
['1166', 2699]
['44', 2577]
['1941', 2292]
['347', 2382]
['273', 17177]
['152', 5947]
['1174', 2346]
['1754', 2868]
['1839', 3113]
['1141', 5688]
['1138', 4525]
['453', 3554]
['354', 5565]
['776', 2746]
